"DOY","ppfd_in_avg","ppfd_in_sd","ppfd_in_f_avg","ppfd_in_f_sd","gpp_avg","gpp_sd","reco_avg","reco_sd","date","vpd_avg","vpd_sd","Tair_avg","Tair_sd","nee_avg","nee_sd","swc_2.5_10_avg","swc_2.5_10_sd","swc_5_10_avg","swc_5_10_sd","swc_15_20_avg","swc_15_20_sd","swc_25_30_avg","swc_25_30_sd","swc_45_50_avg","swc_45_50_sd","swc_60_70_avg","swc_60_70_sd","swc_90_100_avg","swc_90_100_sd","swc_130_avg","swc_130_sd","Tsoi_2.5_10_avg","Tsoi_2.5_10_sd","precip","ef_avg","ef_sd","swc_all_sd","swc_all_avg","swc_shallow_sd","swc_shallow_avg","swc_deep_sd","swc_deep_avg"
1,327.78412,470.540819453144,327.78412,470.540819453144,0.257145905648458,0.395149790365598,0.0888121206475,0.0934017712999226,2010-01-01,1.20100907675003,0.453181298625075,11.5898958333333,4.36483356042301,-0.16833378500375,0.427721906615632,3.8416130214375,0.165212149913452,3.8607137483125,0.114395253165256,5.22470676960417,0.0693424301671359,5.57340461995833,0.00626133394745332,6.09359018608333,0.00758792833067785,5.35936517539583,0.00595941976499819,5.3138673255,0.00731789507083139,5.00978820097917,0.00377917236681368,12.1477208333333,3.75273101043552,0,-0.0463687196353699,0.176319202369161,0.0263107658408092,5.03463113090885,0.0513056307391695,4.62510953982812,0.00439866006441118,5.44415272198958
2,312.5044,464.405586871119,312.5044,464.405586871119,0.0873250446635417,0.210004833850855,0.15783371845125,0.191049393703273,2010-01-02,1.17918737806048,0.517758042307365,11.5438541666667,5.01701786471564,0.0705086737916667,0.316335803745536,3.72790057072917,0.179709693724408,3.7503733210625,0.131266343540846,5.24052315227083,0.0761243830767881,5.57231335733333,0.0053459198521274,6.09455405529167,0.00712019087332154,5.360794919875,0.00838040861843693,5.3136916255,0.00757379573829746,5.00302224522917,0.00996147594526144,12.2111135416667,4.13368006355652,0,0.0476882589271388,0.346503033546947,0.0293677653306937,5.00789665591146,0.0572389868070743,4.57277760034896,0.00367787080277953,5.44301571147396
3,324.62174,466.671808488923,324.62174,466.671808488923,0.186163140401458,0.329009580401991,0.161964101147917,0.288005576315421,2010-01-03,1.15785546309652,0.579810862870645,11.4317291666667,5.66952117659835,-0.0241990392566667,0.482318445973738,3.64730702764583,0.184453734799723,3.64155155839583,0.125545829585663,5.24711108025,0.0769276235617719,5.5704165376875,0.00463593084317174,6.09425580027083,0.004795349882289,5.36283452314583,0.00655625734330156,5.31082727091667,0.0059331935188035,4.99799269397917,0.00665101370513964,12.05186875,4.26410292427257,0,-0.000125977260993925,0.138653963141902,0.0279019047977719,4.98403706153646,0.055367017191277,4.52659655099479,0.00265466584727741,5.44147757207813
4,323.6841,466.741143040608,323.6841,466.741143040608,0.122677561965479,0.24350261478571,0.134939288825625,0.191245268807511,2010-01-04,1.34649026578293,0.601120907407868,13.6936041666667,5.65807726434908,0.0122617268595833,0.34414072750607,3.54907104429167,0.19992987247824,3.53838670225,0.134846651397451,5.26416149483333,0.0782785394706323,5.56962413835417,0.00514355365265918,6.0940327818125,0.00718114318348943,5.3603883831875,0.00683772229249952,5.31105155341667,0.00570334322326463,4.9977247339375,0.000563187451807698,12.785259375,4.5127770872747,0,0.0714036005217413,0.270633521151056,0.0318778955973783,4.96055510401042,0.0619167835370752,4.48031084493229,0.00382857845225443,5.44079936308854
5,324.2214,465.718764736089,324.2214,465.718764736089,0.136042679444792,0.260653097942783,0.177528217875875,0.298937290751822,2010-01-05,1.31093250682245,0.562274577555263,13.725875,4.838425423605,0.0414855384270833,0.447711897852246,3.4322045640625,0.176859024953331,3.39269193552083,0.123239478887744,5.277811406375,0.0714281496180861,5.57171803672917,0.00452129176412329,6.09704785795833,0.00522394316655652,5.36113493135417,0.00342474648931345,5.31209379983333,0.00576795652695922,4.9998004,0.000635886716914809,13.9664677083333,4.00298159091192,0,-0.0920790534918036,0.735170696119141,0.0277488877439839,4.93056286647917,0.0543548317353141,4.41860648567187,0.0025609900973115,5.44251924728646
6,310.20194,455.93454487797,310.20194,455.93454487797,0.155774780598062,0.301262151504287,0.116907422019488,0.25454340992471,2010-01-06,1.25654410285263,0.604616470815271,12.2857083333333,5.52747170074007,-0.0388673585786063,0.437349228071225,3.40895834233333,0.184030965588781,3.31645765452083,0.118775317981552,5.27759834370833,0.0726552344753921,5.571532445125,0.00523827614156588,6.09940795597917,0.00725362044228741,5.36297134164583,0.0071664610657806,5.31323587420833,0.00469339796272939,5.00089515491667,0.002815629284052,13.2690354166667,4.06153858535343,0,0.0511734890645012,0.160440211000535,0.0278235122329971,4.91888213905469,0.0539985801367122,4.39363669642187,0.00413164149051671,5.4441275816875
7,278.18872,430.626902343285,278.18872,430.626902343285,0.14336113577075,0.249844569556264,0.123341887194237,0.255203402607167,2010-01-07,1.17897190632997,0.561749876683337,11.6722708333333,5.29135132456561,-0.0200192485788435,0.403336478379276,3.37349774185417,0.174404638897263,3.2454987160625,0.106856833845659,5.28536204364583,0.0671412288124925,5.57006034597917,0.00356800113987834,6.09994458414583,0.00516183635052712,5.36425588316667,0.00543054670575701,5.31185712047917,0.00420663652034991,4.999350290875,0.00613154306192007,13.1555979166667,3.84677035808845,0,0.00909532795536722,0.147655758205613,0.025503257790734,4.90622834077604,0.0495650964512013,4.36860471188542,0.00287868358555766,5.44385196966667
8,332.46928,483.56989744106,332.46928,483.56989744106,0.132101666895417,0.251497555827607,0.0887891639639167,0.148532252293234,2010-01-08,1.07414585459267,0.410754331043031,11.4519375,4.49224366254439,-0.0433125029315208,0.321756512430404,3.35359764589583,0.169278600445003,3.199388026,0.099824497554922,5.28164853152083,0.0657068060184045,5.56880765091667,0.00378891070620479,6.09901862891667,0.00506740778592593,5.36387494070833,0.00398943295940592,5.31134708314583,0.00204167688284773,4.99419370095833,0.00949182139249442,12.8515427083333,3.80913972402255,0,0.0321177030433896,0.0782464766500848,0.0240252269401223,4.89648452600781,0.046802804509526,4.35086046358333,0.00312590691179538,5.44210858843229
9,274.1661,403.523221226642,274.1661,403.523221226642,0.134391828840208,0.208492130107583,0.223866068542083,0.304321316173754,2010-01-09,1.20969205524793,0.43082860896801,12.30275,3.69392634618827,0.089474239701875,0.429359714640786,3.31443306291667,0.138708618316129,3.137245952375,0.0845695523202585,5.2856328465,0.0530329973632822,5.56791428333333,0.00503694530209629,6.09956106108333,0.00714199942749892,5.3637148290625,0.00126461872391046,5.31093607970833,0.000418775103176763,4.99698443229167,0.00844732148688912,13.1679114583333,3.17437853713869,0,0.0625794908604693,0.185106355565552,0.0204164204761104,4.88455281840885,0.0392379012922026,4.32630653628125,0.003318593680423,5.44279910053646
10,228.25328,332.33072594416,228.25328,332.33072594416,0.0851015587514583,0.166892139027795,0.15255624190125,0.16615391583458,2010-01-10,1.18108571832828,0.405385030474458,11.5171666666667,4.28178096935184,0.0674546831489792,0.2554820228007,3.36173908639583,0.131158657657272,3.13453799895833,0.0756171114705786,5.26986562622917,0.0556641610813556,5.56429737225,0.00579073712909533,6.096006535125,0.00721762264762645,5.36235798364583,0.00304510645970123,5.31042071420833,0.000377867057961539,4.99243254945833,0.00986767983403784,11.6435541666667,3.0122704884556,0,0.100309180724051,1.12022425164787,0.01854006192212,4.88645723328385,0.0347942302596618,4.33261002095833,0.0041624195818487,5.44030444560937
