"y_var","r_squared_x1_summer_swc_shallow","adjusted_r_squared_x1_summer_swc_shallow","p_value_x1_summer_swc_shallow","f_statistic_x1_summer_swc_shallow","df_residual_x1_summer_swc_shallow","slope_x1_summer_swc_shallow","pearson_corr_x1_summer_swc_shallow","r_squared_x2_summer_swc_deep","adjusted_r_squared_x2_summer_swc_deep","p_value_x2_summer_swc_deep","f_statistic_x2_summer_swc_deep","df_residual_x2_summer_swc_deep","slope_x2_summer_swc_deep","pearson_corr_x2_summer_swc_deep"
"UD_med",0.331,0.108,0.31,1.484,3,-4.228,-0.575,0.032,-0.291,0.774,0.099,3,-3.064,-0.179
"SD_med",0.024,-0.301,0.802,0.075,3,-2.132,-0.156,0.12,-0.173,0.568,0.409,3,11.061,0.346
"DD_med",0.41,0.213,0.244,2.086,3,-20.079,-0.64,0.094,-0.208,0.616,0.311,3,-22.419,-0.306
"RD_med",0.166,-0.112,0.497,0.596,3,-10.667,-0.407,0,-0.333,0.988,0,3,0.571,0.009
"GSL_med",0.106,-0.192,0.593,0.355,3,-8.185,-0.325,0.001,-0.332,0.961,0.003,3,1.801,0.031
