"y_var","r_squared_x1_summer_swc_shallow","adjusted_r_squared_x1_summer_swc_shallow","p_value_x1_summer_swc_shallow","f_statistic_x1_summer_swc_shallow","df_residual_x1_summer_swc_shallow","slope_x1_summer_swc_shallow","pearson_corr_x1_summer_swc_shallow","r_squared_x2_summer_swc_deep","adjusted_r_squared_x2_summer_swc_deep","p_value_x2_summer_swc_deep","f_statistic_x2_summer_swc_deep","df_residual_x2_summer_swc_deep","slope_x2_summer_swc_deep","pearson_corr_x2_summer_swc_deep"
"UD",0.163,0.093,0.153,2.334,12,8.402,0.403,0.413,0.364,0.013,8.431,12,16.934,0.642
"SD",0.153,0.082,0.167,2.161,12,8.898,0.391,0.188,0.12,0.122,2.77,12,12.489,0.433
