"y_var","r_squared_x1_summer_swc_shallow","adjusted_r_squared_x1_summer_swc_shallow","p_value_x1_summer_swc_shallow","f_statistic_x1_summer_swc_shallow","df_residual_x1_summer_swc_shallow","slope_x1_summer_swc_shallow","pearson_corr_x1_summer_swc_shallow","r_squared_x2_summer_swc_deep","adjusted_r_squared_x2_summer_swc_deep","p_value_x2_summer_swc_deep","f_statistic_x2_summer_swc_deep","df_residual_x2_summer_swc_deep","slope_x2_summer_swc_deep","pearson_corr_x2_summer_swc_deep"
"DD_med",0.908,0.861,0.047,19.651,2,7.946,0.859,0.766,0.649,0.125,6.538,2,17.12,0.681
"RD_med",0.002,-0.496,0.951,0.005,2,-0.77,-0.093,0.071,-0.394,0.734,0.152,2,-9.831,-0.28
"GSL_med",0.217,-0.175,0.534,0.554,2,8.371,0.252,0.07,-0.395,0.736,0.15,2,11.147,0.166
