"DOY","ppfd_in_avg","ppfd_in_sd","ppfd_in_f_avg","ppfd_in_f_sd","gpp_avg","gpp_sd","reco_avg","reco_sd","date","vpd_avg","vpd_sd","Tair_avg","Tair_sd","nee_avg","nee_sd","swc_2.5_10_avg","swc_2.5_10_sd","swc_5_10_avg","swc_5_10_sd","swc_15_20_avg","swc_15_20_sd","swc_25_30_avg","swc_25_30_sd","swc_45_50_avg","swc_45_50_sd","swc_60_70_avg","swc_60_70_sd","swc_90_100_avg","swc_90_100_sd","swc_130_avg","swc_130_sd","Tsoi_2.5_10_avg","Tsoi_2.5_10_sd","precip","ef_avg","ef_sd","swc_all_sd","swc_all_avg","swc_shallow_sd","swc_shallow_avg","swc_deep_sd","swc_deep_avg"
1,267.498,436.517128744007,267.498,436.517128744007,0.126452911741458,0.273949917545563,0.508445624816667,0.356645897504205,2007-01-01,0.697383242156954,0.347777062755453,8.43591666666667,3.88335313451866,0.381992713074708,0.512027136210862,7.15078510175,0.143681710840266,7.38074942395833,0.151880399876606,6.67100823466667,0.0594254352503206,5.95034151266667,0.00584734164202896,6.44468405320833,0.007063422237405,5.58346393039583,0.00425474982201668,5.58499069010417,0.00438451793343675,5.10629521985417,0.00611815067764059,9.37278125,3.26020926680071,0,0.0931482707617527,1.01803141392404,0.0303882153817238,6.23403977082552,0.0616896292094445,6.78822106826042,0.0026600271274696,5.67985847339062
2,310.42162,453.876335464717,310.42162,453.876335464717,0.101447163105431,0.207436519240067,0.479280898289583,0.378611884973936,2007-01-02,0.67591891875062,0.383848814181237,9.33975,4.83734861217844,0.377833735197708,0.48116616621187,6.87205735175,0.149372856735915,7.07659751560417,0.143770183714196,6.7304574930625,0.0524752195055921,5.95247121479167,0.0056343839245941,6.44468134085417,0.00758680101514965,5.58487582822917,0.00674737370331836,5.58512959291667,0.00513132457238134,5.1175167665625,0.00465905282363127,9.766703125,3.59121665564878,0,-0.78005923187294,6.45355019721723,0.031069325160975,6.17047338797135,0.0618765939997148,6.65789589380208,0.00304127221242295,5.68305088214063
3,320.90446,462.687395199783,320.90446,462.687395199783,0.218048624131458,0.38004078462058,0.44383049168125,0.278871449405396,2007-01-03,0.750798219829964,0.368039109024708,10.7992708333333,3.83396051955601,0.225781867556875,0.523589841774397,6.58261639245833,0.145059083056155,6.762941601375,0.120159087169035,6.76957922010417,0.0524783906654796,5.95671473597917,0.00575723922062602,6.44537570175,0.00748359978070599,5.58835762429167,0.00715939390345518,5.57878951583333,0.00365744873616224,5.11805502633333,0.00970477228676991,11.6093395833333,3.49290108391532,0,0.197399517425542,1.26052558911913,0.0271861234587585,6.10030372726562,0.0554343593171809,6.51796298747917,0.00543328057336691,5.68264446705208
4,322.9907,465.281890529831,322.9907,465.281890529831,0.246926185237333,0.29033916035278,0.3609275331625,0.116811300909102,2007-01-04,1.03185020518659,0.532941446551656,12.0716041666667,5.13615067693233,0.114001347920444,0.323896510316828,6.35123183277083,0.15142682542176,6.52964376804167,0.106924895134987,6.78892590408333,0.0557990961634305,5.96407564604167,0.00598097493961851,6.4513690404375,0.00860959488825298,5.58594439120833,0.00271604730073273,5.57883376695833,0.00276056443257735,5.118334011875,0.00666995969086882,11.8415104166667,3.85488789825083,0,0.108558718706516,0.540830333194405,0.0266943844416368,6.04604479517708,0.0531033209362622,6.40846928773438,0.00320573711444498,5.68362030261979
5,137.4645,250.262545423779,137.4645,250.262545423779,0.143867347755,0.295738397150769,0.319634790072917,0.177262326748142,2007-01-05,0.499530982108847,0.418126185041149,8.19104166666667,3.73882641137525,0.175767442328125,0.35050616356653,6.57938588635417,0.51214811150475,6.82588491475,0.629753961397809,6.81134125639583,0.0695115319928338,5.970766735375,0.00369557573685832,6.4559408774375,0.00579227967963896,5.59182583002083,0.00496468131424519,5.580502911875,0.00169318210553019,5.11973115295833,0.00116144091979339,9.91640104166667,1.36464091721025,4.064,-0.082370573313332,2.24665549782523,0.149179120959727,6.11692244564583,0.298855275089733,6.54684469821875,0.00152542558075545,5.68700019307292
6,329.76528,474.738437015191,329.76528,474.738437015191,0.0326795698445208,0.0970220085934329,0.37321136299375,0.297126978372688,2007-01-06,0.308640353943954,0.204168280208141,4.1611875,3.35124378089529,0.34053179315125,0.333647030493573,7.39281916795833,0.128413120362658,7.821481592375,0.157829374426601,7.21910765529167,0.11136709328498,5.97407269175,0.00450128218413236,6.44690180029167,0.00469657201253938,5.58641061816667,0.00505401463478334,5.58548546466667,0.00372439793787241,5.12083440252083,0.00627134272318937,8.70480520833333,2.87706161929071,0,0.468651181194091,3.08514671876203,0.0261112876850239,6.3933891741276,0.0534054692784914,7.10187027684375,0.00321785344401362,5.68490807141146
7,326.67814,469.51615329629,326.67814,469.51615329629,0.158656704035208,0.23635399536554,0.3921759050375,0.277788998205689,2007-01-07,0.801686754473858,0.503401400699906,8.34820833333333,5.95103549708693,0.233519201007667,0.426253748287588,7.09442133639583,0.161882444933814,7.4781685774375,0.177761652748639,7.359563757,0.0635959245511374,5.97739168372917,0.00505874354275686,6.446047022125,0.00609519150961746,5.58544885075,0.00541695161787508,5.5856067065,0.00700126142983859,5.11964276470833,0.00907613855388941,8.75169791666667,3.83198519548286,0,0.779921597533699,4.17051096572617,0.0372987265806931,6.33078633733073,0.0735934804458535,6.97738633864062,0.00461445667221955,5.68418633602083
8,322.98476,464.498073220801,322.98476,464.498073220801,0.18491570612125,0.300129239749696,0.546645685322917,0.297722712097684,2007-01-08,1.35715196258995,0.666620265808912,13.5675416666667,6.16624336466454,0.361729979193333,0.467943253207734,6.76360038872917,0.175602686247139,7.09264887075,0.169244434741504,7.39796635489583,0.0532460518477123,5.9813847129375,0.00524805802302122,6.44901000664583,0.00622654253312889,5.581832450125,0.00469776178454627,5.58047588233333,0.00603918303233348,5.1138940701875,0.00573047605244195,10.6270645833333,4.22137902911387,0,-0.0478695495884511,0.506242247092666,0.0385850861291942,6.24510159207552,0.0776943813191712,6.80890008182813,0.0034715871707593,5.68130310232292
9,315.49748,459.407029068762,315.49748,459.407029068762,0.15045377818,0.294141117764458,1.1567775819625,0.456182995754946,2007-01-09,1.86235022096747,0.411408325641397,18.255625,2.97760499663025,1.00632380377917,0.628950714727835,6.36612777820833,0.171521314092241,6.6380472219375,0.16739900675245,7.37912053483333,0.0453197572951478,5.991675036,0.00642084285380331,6.4578046331875,0.00617529393787588,5.58666111,0.00578622453249912,5.5794397420625,0.00588228125935335,5.11823577720833,0.00859779561219028,14.1226979166667,3.5066490103522,0,-0.196516115193774,0.663492999985482,0.0397727125538133,6.13963897917969,0.0801076535668264,6.59374264274479,0.00413564934781809,5.68553531561458
10,132.02586,210.735256796252,132.02586,210.735256796252,0.446664574852708,0.397314627609726,0.832274704010417,0.381898056025673,2007-01-10,1.15990999531543,0.575911053197252,14.4683333333333,3.68429983147775,0.38561012916275,0.574109513727695,6.18035265552083,0.0618205034907443,6.35692833864583,0.0483324261312746,7.28336844795833,0.0211311400360043,6.0024196695,0.00550431338153957,6.46540004645833,0.00532752604790558,5.59439420620833,0.0056272620043577,5.58384624789583,0.00472121433575283,5.11626348733333,0.00952728070459823,12.4216979166667,1.57931502621131,0,0.734707714040215,5.20794376808076,0.0130854417444846,6.0728716374401,0.0253223880049573,6.45576727790625,0.00273318432794557,5.68997599697396
11,303.90382,476.178903807088,303.90382,476.178903807088,0.343594716918187,0.436799696840818,0.867021918983333,0.370889358536513,2007-01-11,0.768232020625453,0.501958774316423,13.8645833333333,3.50903148323788,0.523427202067335,0.617743596811559,6.2473107171875,0.0866893997544263,6.51877859002083,0.153537611485013,7.26718864460417,0.0396762780684234,6.01012120472917,0.0082403565093835,6.47141658014583,0.00715039366999152,5.59448644564583,0.0034604019021707,5.5819384815625,0.00284591965152832,5.10826513339583,0.000694911957580968,14.064375,2.80308919015766,0.762,-0.613459144195885,3.28888408369693,0.0288524859793112,6.09993822466146,0.0591231825665362,6.51084978913542,0.00215546883164162,5.6890266601875
12,281.11918,442.42773087889,281.11918,442.42773087889,0.368571703328333,0.549741789649635,0.741479036729167,0.183415913132188,2007-01-12,0.680562360992115,0.30949623166063,12.8415416666667,2.73129470474799,0.372907333407708,0.584291106537381,6.02989435708333,0.115519022816543,6.21263052,0.117190789997471,7.25439441447917,0.0327085608819349,6.02469393385417,0.00641724426721874,6.483510220375,0.00805051631209329,5.59894916,0.00419253117865538,5.58549716270833,0.00647661905666312,5.10561155591667,0.00124613071942576,14.2979375,1.9875637207101,0,0.375788145777278,3.95454951578231,0.0267412910831988,6.03689766555208,0.054487701655765,6.38040330635417,0.00333078515509541,5.69339202475
13,261.80336,439.862857521216,261.80336,439.862857521216,0.342633662144417,0.513465835002871,0.38037327589375,0.0858457283228756,2007-01-13,0.404476918092504,0.196390950724648,5.21966666666667,3.08158020622146,0.0377396137364583,0.481542363524415,5.85337517133333,0.0929675059388442,5.9681006889375,0.0893927761130761,7.23293268725,0.0349310692848207,6.0300381178125,0.00616130744871524,6.486252404375,0.0067961720890963,5.6052443750625,0.00369394815457861,5.58743565547917,0.00358563303176054,5.10014693758333,0.001850962169302,12.9578958333333,2.33984354861678,0,0.628752775341357,0.528547152228035,0.0209333018241325,5.98294075472917,0.0410814843473724,6.27111166633333,0.00271951704202346,5.694769843125
14,355.3125,505.259688896434,355.3125,505.259688896434,0.128644262201271,0.202732285353628,0.2369416927125,0.101043471835863,2007-01-14,0.444658904219305,0.212891627766023,-0.993125,4.19435847363088,0.108297430510938,0.221767714720908,5.79699466195833,0.0993389488231529,5.83071124172917,0.0796483783477997,7.18984054389583,0.0484598141358681,6.02466176695833,0.0061202180133636,6.47937908135417,0.00816248235704643,5.60463863679167,0.00378645096432886,5.58129639908333,0.00162970850307254,5.09330846610417,0.00156609901227699,8.600146875,3.18596600894448,0,-0.0634205988985107,0.249053816706231,0.0180995078522604,5.95010384973437,0.034206760753526,6.21055205363542,0.00294297214648692,5.68965564583333
15,352.88166,502.320440979034,352.88166,502.320440979034,0.333701920827708,0.457635905421295,0.277335491979167,0.161815064949009,2007-01-15,0.466781040115108,0.241489649146087,-0.171895833333333,5.27912470678327,-0.0563664288591104,0.507858851089777,5.671026100625,0.110389826630986,5.63926000522917,0.210760219486532,7.17227662360417,0.0488469535165424,6.01277571760417,0.0057108833598716,6.46093827272917,0.00828338340669514,5.60104811425,0.00496636305069071,5.58094626783333,0.00228839406603228,5.09082462704167,0.00302110424215983,6.48777864583333,3.68024421715443,0,0.0139074333322074,0.154297457129947,0.0376983734797736,5.90363696611458,0.0754304092805934,6.12383461176563,0.00229652218331932,5.68343932046354
