"DOY","ppfd_in_avg","ppfd_in_sd","ppfd_in_f_avg","ppfd_in_f_sd","gpp_avg","gpp_sd","reco_avg","reco_sd","date","vpd_avg","vpd_sd","Tair_avg","Tair_sd","nee_avg","nee_sd","swc_2.5_10_avg","swc_2.5_10_sd","swc_5_10_avg","swc_5_10_sd","swc_15_20_avg","swc_15_20_sd","swc_25_30_avg","swc_25_30_sd","swc_45_50_avg","swc_45_50_sd","swc_60_70_avg","swc_60_70_sd","swc_90_100_avg","swc_90_100_sd","swc_130_avg","swc_130_sd","Tsoi_2.5_10_avg","Tsoi_2.5_10_sd","precip","ef_avg","ef_sd","swc_all_sd","swc_all_avg","swc_shallow_sd","swc_shallow_avg","swc_deep_sd","swc_deep_avg"
1,316.41522,462.25530240728,316.41522,462.25530240728,0.638161622958542,0.859246489933403,0.445475359610417,0.214137163824288,2020-01-01,0.479757583567296,0.373202004714085,7.4100625,5.02785290838456,-0.1926862633625,0.728092193193309,10.1744283385417,0.085850563869179,9.71079319277083,0.135219203883007,13.0573684395833,0.0904882635195305,13.7638182522917,0.0502840693869607,13.122184850625,0.0437137339748055,10.5402666641667,0.0253392516771462,5.9070861334375,0.00231962538372887,5.51465608395833,0.00354165262620211,8.22662239583333,2.98156898076849,0,0.0315654183576566,0.689778604550686,0.0515302532433639,10.2238252444219,0.0874364583668047,11.6766020557969,0.0167541600939494,8.77104843304688
2,302.036008,435.102505709052,302.036008,435.102505709052,0.582315170610417,0.772429407894576,0.48986614906875,0.333888044434643,2020-01-02,0.394279691588696,0.2810541798035,5.9615,3.8976885130396,-0.0924490215454167,0.838063427002425,9.96340390208333,0.074893684439789,9.5479831949375,0.110838718006349,12.8090338983333,0.0765169188693978,13.5757021429167,0.0518548197430193,12.9823169477083,0.0364409362347335,10.4632760020833,0.0236510362033986,5.91255112191667,0.00173407462742615,5.5084381624375,0.00737960423249523,8.42538958333333,2.2324970387619,0,0.105331738276325,0.630192477536108,0.0436909370944457,10.0953381715521,0.0736837287988776,11.4740307845677,0.0153898866478972,8.71664555853646
3,321.60804,464.375553177181,321.60804,464.375553177181,0.838938097249375,1.02639987635816,0.43349503608125,0.225886185629763,2020-01-03,0.567105776330253,0.369556459631364,6.32222916666667,5.00062001364164,-0.405443061075188,0.945247920283559,9.779498448375,0.0762989573092294,9.3153824213125,0.122023394302595,12.623244208125,0.0731315554927923,13.3954966,0.0443162468570057,12.8615292933333,0.0303067698026934,10.3940545925,0.0211899249654823,5.920294858875,0.00670846059608547,5.51058275108333,0.00189595462999387,7.6566515625,2.90434723916107,0,0.180819884841961,0.707749294424357,0.0427312906126737,9.97501039670052,0.0756506359305434,11.2784054194531,0.0110970011650696,8.67161537394792
4,318.418058,456.746902638214,318.418058,456.746902638214,0.909424768626042,1.01895880897987,0.559910039254167,0.329939179041177,2020-01-04,0.851413222636215,0.631275163173222,9.81395833333333,6.92498565927798,-0.34951472932125,0.820053010804867,9.59614622914583,0.0777528674733261,9.05913623560417,0.132910207195828,12.434024785,0.073800343284746,13.2364415620833,0.0388796778397131,12.76363033625,0.0243259824467149,10.3289229685417,0.0197680135171153,5.9575820215625,0.0172319860494599,5.50822357560417,0.00835699811647168,8.48532604166667,3.37247635452162,0,0.053161781333752,0.528774539455779,0.042162002206408,9.86051346422396,0.077259117087034,11.0814372029583,0.0083439276285852,8.63958972548958
5,331.841853,480.051366167432,331.841853,480.051366167432,1.08860435931635,1.29138408869122,0.764231049154167,0.372988366982831,2020-01-05,1.26453052858291,0.793096514710998,13.3509583333333,6.59078591174051,-0.324373310192354,1.00440183691556,9.3990992143125,0.0775484404895074,8.76987016908333,0.149307953236185,12.2360881360417,0.0778209712841657,13.07522707,0.0443082008926139,12.6713880877083,0.0261185390245491,10.27128904875,0.0151453129139976,6.0430349061875,0.0330651748567289,5.506379486875,0.00200835675377715,9.694984375,3.45761651210828,0,0.0332686522920114,0.431230084763915,0.0418450486359258,9.74654701486979,0.083075109130984,10.8700711473594,0.00348903871664261,8.62302288238021
6,332.409653,481.48071555251,332.409653,481.48071555251,0.880692744739437,1.00954197476921,0.680948227177083,0.363120145830066,2020-01-06,0.945130804272678,0.682172907462736,10.6667291666667,6.18330348510555,-0.199744517598792,0.905972180904777,9.21113184516667,0.0730194693402306,8.4743765225625,0.135331027122748,12.0394669266667,0.0710511150270784,12.9071541760417,0.0452732377704227,12.5923957308333,0.0211627029252798,10.223283991875,0.0186856849792286,6.20115204485417,0.053810662311766,5.51173838502083,0.000910672052943058,9.6600625,3.15905886815995,0,-0.0796971117755229,1.44574590028367,0.0363536476824249,9.6450874528776,0.0768907167010239,10.6580323676094,0.0048505524672935,8.63214253814583
7,319.714869,463.461539239222,319.714869,463.461539239222,1.01182628569125,1.32547816675091,0.978989236122917,0.298366500858839,2020-01-07,1.47847944070232,0.437634145732265,14.7525416666667,3.77102089545678,-0.0328370495958333,1.32827867987215,9.01918748895833,0.076997043702309,8.1465917253125,0.175096894248261,11.8793690414583,0.0336547690771563,12.7442037702083,0.0427867337400388,12.516440073125,0.0214243389959604,10.1729891858333,0.015238627530083,6.38345588875,0.0491783181326411,5.50589430535417,0.00979250716358063,10.1831260416667,3.09596238624118,0,0.121379030656038,0.863285053739216,0.0382291954003354,9.546016434875,0.0789891912893707,10.4473380064844,0.00427121998004122,8.64469486326563
8,325.601034,467.912048346741,325.601034,467.912048346741,1.08075646601063,1.37930296936124,0.758247745141667,0.370265639515198,2020-01-08,1.2420458607718,0.576030524966305,12.2315,5.65205453136573,-0.322508720829167,1.19211186986164,8.82776533116667,0.0586046439716382,7.8111024880625,0.0901436959194412,11.766220108125,0.069069092641553,12.5916794483333,0.0385691703990164,12.4538184927083,0.0145092958323329,10.132015649375,0.0150586646341607,6.5570386799375,0.0519318707122055,5.499596979625,0.00881070923523484,10.2779802083333,2.93050471921374,0,-0.0162767007552509,0.329858756782795,0.0274789649764674,9.45490464716667,0.060440087112612,10.2491918439219,0.00646138046762321,8.66061745041146
9,352.718652,537.261296211985,352.718652,537.261296211985,1.12521612352385,1.59601068222128,0.674405671885417,0.303215386180122,2020-01-09,0.940160058183182,0.52947497359903,9.98414583333333,5.15639786024835,-0.450810451610625,1.48635542632804,8.67627365297917,0.0564252669347414,7.61473696914583,0.087571226093012,11.599804388125,0.0603322465529435,12.4526271764583,0.03550938074682,12.3968525372917,0.0172759230259351,10.0935333808333,0.011759605518009,6.7764798518125,0.0819652294123185,5.49763339220833,0.00754975680564369,10.0436927083333,3.25621364191716,0.508,-0.0739137211857249,0.922554042659514,0.0213032703036757,9.38849266860677,0.055173352573787,10.0858605466771,0.0142950629522393,8.69112479053646
10,303.974535,461.263671923801,303.974535,461.263671923801,0.633782875310208,0.848978193734545,0.415951462272917,0.176420546176675,2020-01-10,0.362112780156619,0.281527822719657,5.75695833333333,3.60469751413898,-0.217831413037083,0.797280213600558,8.5471025015625,0.0473776476119408,8.01325541227083,0.174370886105864,11.4326029927083,0.0500970354601302,12.3363661675,0.0312018661764995,12.340794315625,0.0151799866023221,10.0528463964583,0.0157731783390285,NA,NA,5.49725243922917,0.00664954938321999,10.1953333333333,2.11680892285688,1.016,-0.683770202696397,7.01530543086999,0.0283036164322606,9.74574574647917,0.047764604244501,10.0823317685104,0.0110654844482169,9.29696438377083
